id,cuisine,review_count,rate,recommended
1_pK5aQ47atF50oAKHADhA,thailand,473,4.5,1
qHi_FA4zSEkFshXQ4Chc9A,chinese,3,3.5,0
JlpVZdT1V-Pd5y3LH0xBPg,chinese,3,3.5,0
eA64YkTdF9QZwrPtXBBSkw,japanese,6,3.5,0
jEkqVhK6lSfTR6Hw564CDw,american,10,3.0,0
SP4bvMvxel_UPdof_er3HA,mexican,451,4.5,1
C5lP--2smxLLB9UCmoq5eQ,mexican,8,3.0,0
CFUaimcfs4q8Y7vCkxraHg,chinese,4,3.5,0
239gkHS4sotgrs7cK7QT-w,chinese,3,3.5,0
r3bwyyc48GoqIFYLd4gOXw,mexican,3,3.0,0
qLLxS7RwNEjP_jq_KQrPfA,japanese,1811,4.5,1
xsU6Gs5m89_u2d7G75s4dw,thailand,5,3.5,0
Zs-IWJ6vpGK3GcmFrBecXQ,italian,6,3.5,0
k5BZq7XdRFr4xMbZMMGxxg,mexican,3,3.0,0
5a1e4YegoUkikCuU208w8w,chinese,1,3.0,0
6Ct7OeTRn4caY9g0swFBsw,mexican,670,4.5,1
wSGZA3DOFSUvALZRKCM_Sw,japanese,585,4.5,1
LpVbI-E9C-CSp7WhU5h2Iw,chinese,491,4.5,1
BPZfuPvSxCfoppU4lPFm0Q,japanese,822,4.5,1
FlZ1zdVEKWv7dwqm8Uw8-w,chinese,847,4.5,1
z5hRX3iJ5Ty_S38iG_WY3Q,mexican,1462,4.5,1
ugIv_ylUdqRIlx6AD8lTJA,italian,576,4.5,1
mESab-FqL5QqSVsnX72asQ,japanese,980,4.5,1
VqawuFujOKEIvFAKE3nqWw,american,3,3.5,0
f0a8KLFrijzkzaYacWT9Iw,american,2,3.5,0
ADHX7nBixDPVlq3OXhny0g,italian,462,4.5,1
upEljMinfeX9q5jtZPSA0A,chinese,8,3.5,0
MJwyoXJrN7UmqWcWQ5rG1w,chinese,6,3.0,0
3Ic4C60oSH1cV2jknUXSjQ,american,725,4.5,1
9pMhRYYgV7E9L7pzECtJKA,mexican,873,4.5,1
Aazjxg21VH2cncWYBAv68Q,italian,577,4.5,1
kJN998lZUKPbzYX3qSLc5Q,british,2,2.0,0
WqjqHMozyW42XLTtLnKGag,mexican,699,4.5,1
YGdl5Bb2ONrtixvgv1P26g,chinese,1,3.0,0
WKDdD8Z17-P1XhkyJtDEFA,american,850,4.5,1
EMRVTED2AjIZnyGr9UsCKA,british,1,2.0,0
mqlmAxvp0b1jEL-mWN4dVg,mexican,10,3.5,0
3oDDddw8eggbiEkthCRK1w,mexican,3,3.5,0
M1VHR29gMNs3EavDXdE_PA,chinese,3,3.5,0
X8ZS-dgiMIJvhwf9SaDnjw,chinese,1159,4.5,1
XipQLDbyTl5tsLlyzAWzug,mexican,636,4.5,1
unWoFZeSWa0DK1YMekO_Uw,mexican,565,4.5,1
r--VG0XCkbqRx8-CDhzaLA,mexican,7,3.5,0
_gzXNKarTxagBp6_PkmQKw,british,1527,4.5,1
f8TZ_ctcSwxwW8S69YKnwg,italian,1191,4.5,1
s3I5FZ-4Awiyph58ijD8Xg,chinese,4,3.5,0
4Objcs7HXSGuzpb0SOa-Jw,american,947,4.5,1
sGd1ZiC4bW8m6TxxyhM_Pw,mexican,5,3.5,0
O-zwQQV8AExgdPoJiqjpDg,thailand,613,4.5,1
EZZh8594pRwAM1e_WVGeFA,mexican,4,3.5,0
0YE7vfpxTAiWvis8kpFGYw,japanese,2,3.0,0
txSykTj5nbwmpiVNoK_Dyg,mexican,895,4.5,1
jHd7KHMvpI53bZyL9UGTug,mexican,11,3.0,0
JUPxlDVMxuRSsqMcH6RCVg,japanese,1519,4.5,1
SMGsYvfRNIlJc8ZgUjXQow,british,9,2.0,0
j8cKSxr6aQ8qTx23FLyyiA,american,475,4.5,1
MphfKkYFEe0BDQ6hZ0A5fA,italian,709,4.5,1
MfbVI5reXLIIs8Cc2HwgQw,mexican,1498,4.5,1
3X-4PyyktdlauGFQ0wdDnA,japanese,8,3.5,0
s3jou_L_LVYGkNHiuhjlew,mexican,987,4.5,1
SaYTVG7wHCMDBofHCgXPaA,italian,1204,4.5,1
6CyU130WwLre-uRfhi48oQ,chinese,1,3.0,0
h3kZr9KVuzB9JKJCkWZjGw,american,9,3.0,0
_Acmtq5Nnv4Xmqmz914CUg,chinese,11,2.5,0
AjZ9hwJRu77jgWIrnhsGcg,chinese,11,3.0,0
Sg2IBsDJ_8BsO48IW2nBHA,chinese,3,3.5,0
8qSOz7oTPUUCafsMOBBNEQ,italian,531,4.5,1
fBOhaN4rabcM9aJg5qWM-w,chinese,8,3.5,0
Q9F2ocrmYuGt1yn3M7MOBw,italian,1292,4.5,1
9ZrI7ajuoLnW7Da60-2hAA,chinese,5,3.5,0
4CAJ-JvgbzBdoWq1CXtCFw,japanese,546,4.5,1
abZ-mEvF6Tj4hfyIg0lKwQ,italian,531,4.5,1
SduYUnNnuA93MVg4FrIguA,chinese,8,3.0,0
uV6RoExPgXY1LVEv94nxKw,mexican,11,3.5,0
zj8Lq1T8KIC5zwFief15jg,italian,2659,4.5,1
oe8GEFE4QLFAKt87y7zcgA,chinese,740,4.5,1
SUX3TMbaCOUZeR0CTHcqnQ,chinese,3,2.5,0
xRiLLXjeM2wOvVTYJH2__A,italian,874,4.5,1
axqp3pGJXnTLgq2QrPyDyQ,japanese,469,4.5,1
3GMHPnrkFAcqffw3T7JSdQ,thailand,543,4.5,1
rp8S7scxOkVVeG7dNneMGQ,italian,1663,4.5,1
LOSeyhiSWBPa6fS3H7xQMw,chinese,7,3.5,0
cPbR1NvEQaxtoeFtTF5eOA,chinese,11,2.5,0
aZOXAuksT-zYgZdrTYXyVQ,mexican,7,2.5,0
a-Bq_yXFVk2PptoWpmry3w,thailand,696,4.5,1
oFSRNJrl9MOZCiFTNwP1Xw,american,2339,4.5,1
1vNfnjJjLSnXQxFUIqUocg,japanese,2,3.5,0
sCdHhISHDQ34_j4Z3u8MWw,japanese,6,3.5,0
Qc_JU61t38zIfNvArgbX0g,american,5,3.0,0
SbzTvrZZaYhN_EakX_P3ng,italian,5,3.5,0
ETgJqJHV7BW6pIr9Ox74sA,italian,2415,4.5,1
dgU5NoylJVJ5rDZY_PezkA,japanese,449,4.5,1
3NbhYebjZPjLTWZZyRuhsw,british,473,4.5,1
JRiHG5F7Dc3Ce1YKBet3wA,mexican,7,3.5,0
ZD22cMZvSmfNsXS9vKizGA,british,2003,4.5,1
26E3j9l0XW_onVIUP-ThCw,british,570,4.5,1
SULHf6nGQ8sK0UpG1XU30w,mexican,1072,4.5,1
veku2cg2qaV-7MxwhOMBmg,british,625,4.5,1
-OixbLnFLCzQclxCSbUQ8w,chinese,1965,4.5,1
tFIiJ49W47o7QjXNpMtlGQ,mexican,9,3.5,0
gvAzBcK3YZf6UQqOerqF2w,chinese,4,2.5,0
ADt4Wp-0XkSLXQ2nWoDnaw,chinese,10,3.5,0
jvo5yPFrcTfUdOlBqap5LA,chinese,1,1.0,0
JXcYD52B4190gIh6_RSXCg,mexican,755,4.5,1
Ck09FempamAKGSPsV_bX-A,mexican,535,4.5,1
ZZxYVgodx2TxbYwh-0YU1w,mexican,531,4.5,1
4cNKwCO8XxaF2cz2s7jpZQ,chinese,7,3.0,0
_LJFf9YqpYxvExTvVxb7Rw,american,925,4.5,1
TcuWyuZAORVnQBPCMNbTgw,japanese,589,4.5,1
DMD9T2qmLopzy0JjQYtCag,chinese,7,3.0,0
_WhV2UWBj6ULaLlo_I9FMg,mexican,11,3.0,0
oRdM7n-AfBPBGAlH4Q0Sag,italian,646,4.5,1
o5ERD8dqk0yEMvWvW6a9cA,japanese,4,3.5,0
06tnwnEQM2j9A6dC3HC_TQ,italian,733,4.5,1
WVps4Rw-FHgEUdwtH02t3w,chinese,5,3.5,0
A2DV-AQIXRYUMu5Ak5mjxg,italian,933,4.5,1
xZ96vaoL-cQjfotmUKtjJQ,american,1366,4.5,1
36RURbd4JcyJfaq8pRbvXw,chinese,7,3.5,0
bQNqiix_9TgeFy2cbjms-Q,american,5,3.5,0
b6jOwyX4iaagw8YjXqq1sA,italian,685,4.5,1
xrkXQcbqyS2T_YC7Box79w,japanese,7,3.5,0
gPBrWnGhvg1fCmT7Yh2vPQ,mexican,3,3.5,0
cUyfnb3E7HvzNfbTgTjl_Q,mexican,543,4.5,1
FoR70YoGSb4_QavCe1WZEw,japanese,902,4.5,1
9YXvNE2jpEhA4k6M8WDH7A,mexican,498,4.5,1
J4pAppaiXwCkbLOGc4wHww,mexican,1392,4.5,1
QZY3xdZvrhfBLPRVr6ryiQ,chinese,9,3.0,0
N39iw9BiwCE0MEmbS8XMcA,mexican,7,2.0,0
nUpA3sY5b6dynC7aj0eV6A,italian,672,4.5,1
dfm69NWJMqvLbQBKlaFd7w,chinese,4,3.0,0
laiRlkG_gfzPqLPK4gQy1g,mexican,2,2.5,0
veq1Bl1DW3UWMekZJUsG1Q,american,2728,4.5,1
c3D2ckzacnPtdGIM8tb-_w,italian,987,4.5,1
-w4biAdR3WM63HlRSey1Ew,chinese,6,3.0,0
5jWtmwlNbXLcHDU9ka2iQQ,british,6,2.5,0
qLUH_0H8ct_DTSqrjwd3DQ,mexican,9,3.5,0
JlFbaMbMzsu7FA307mUIqg,thailand,1492,4.5,1
SGaUkkKGpoEN5C2AB_Vv6w,thailand,10,3.5,0
jGwCWWUcSrDK1_i8s0kHeQ,chinese,1,2.0,0
ehUuSk5gPTCQmwS_ubgKRA,italian,1691,4.5,1
ZTsN8TdMXl8SW_AKd_ablw,italian,586,4.5,1
U3KLPBFdWlkqdrywf1lvug,mexican,3,3.5,0
vDkAtrkji4YatAoKbqF_Yg,chinese,3,3.5,0
f-WgMe3tJWlawXNDQOR11g,japanese,8,3.0,0
Xjswj531-FkRZPpcccU6kQ,mexican,789,4.5,1
lynQoI3w_pzYfHGeuUU-Qg,chinese,653,4.5,1
sKIYGvENchifk1YwFe77pA,thailand,542,4.5,1
OpOwJYqJRgRnoBKKPYwdTQ,chinese,5,3.0,0
iNiq1vgWpEa48jlPAce8wQ,british,1009,4.5,1
ckQo_h2SQn7GpqNSio6XFg,japanese,5,3.5,0
qR6vC-y7o_ts-s-dqg4h1w,chinese,6,3.5,0
N9QzfD5sbkbnfdJk227L7g,chinese,2,3.5,0
RPGhmMXIBEItJpEZnIVzlg,american,11,3.5,0
_fff8IsejG9-2cFbf-CnrA,mexican,9,3.5,0
pGr5QuQU7Ur5GHLvXbT8bw,italian,1158,4.5,1
V_5IS9PY4tjmYk95lDWfgg,mexican,7,3.5,0
TBp9gdS6xEbSQqffVZ7iag,japanese,683,4.5,1
FLM5Cqc_8Ht6jmrwWg0VhQ,japanese,3,1.5,0
wGFSTTB6b4MHJJUzBnVJeg,thailand,1064,4.5,1
c3Ww3pgeHjBi3ctkeUWrjQ,american,748,4.5,1
-dQexkmhlgbiKvZ94jBmjQ,british,599,4.5,1
Pm9g4v6bpq9_OEigK0jHYA,chinese,7,3.5,0
diCW3Pj1PTVRSyol_d7cZw,japanese,479,4.5,1
JXTQTVH6ItQek5vmiDYYIA,japanese,8,3.5,0
jnEv25Y2DosTq2sNnvmC9g,mexican,2623,4.5,1
B3_K2kUVbYOU0VaLcj_LTw,chinese,2469,4.5,1
8fr5FYU1ip0phERt1mrekg,japanese,711,4.5,1
jdNdy-MwBtnXoBGC_JVvwQ,italian,936,4.5,1
zGAQqDu0Ak2khVYs9WdQxw,japanese,1244,4.5,1
1ZKbUeFAs0ltSnAYq4ELKw,italian,860,4.5,1
vSkCDRWX6VvP4PJHHFgoDw,chinese,11,3.5,0
OLa3-KQO9rHjswo55E3Jgg,italian,492,4.5,1
vvoYfgEf8_T17ZnONo5izw,mexican,6,3.5,0
hBGxI6aU6sT6080ZX4UeDw,mexican,1,3.0,0
3Gz07E5YJjDTJPSuzsAStQ,american,469,4.5,1
e9nKK7tldpI2o_9eHZ2y6g,mexican,6,3.5,0
xcJPCQeG3OgXWkgjB8avfQ,chinese,4,2.0,0
6F9XOOr60g5fL46YOOhyRQ,british,6,3.0,0
jsmHlpiJLfaPW3xvldRYjg,japanese,4,3.0,0
ryvBsB9FrBBZDak87iGS1w,british,1042,4.5,1
BGxPQKWgcNcFgn0sb9msLA,chinese,6,2.0,0
g5xFiAuPcnPjGr4Vur50qg,mexican,3,3.5,0
difsr3Yw5VVY0FyIu6Un4g,mexican,6,3.0,0
gSkAfUFw_iM2CX2FqC6TwA,japanese,472,4.5,1
9EcqEGu_0POrIyOPJCC2Jw,chinese,2,3.0,0
sGqKDtizXj3tg9jnAc9FeQ,american,526,4.5,1
4XXzwYA8Ng1pOLSov_srDg,chinese,11,3.5,0
DZaN3bNWfwcm__sNw5bvDg,mexican,1506,4.5,1
tLk55gBN_UV59tVrvBABUg,chinese,2,2.0,0
nRO136GRieGtxz18uD61DA,british,2020,4.5,1
L3REPLCvQpMapYPd_fkS-A,mexican,471,4.5,1
b8a-8u_A51v2IzyjLVsx6w,american,2746,4.5,1
fVbUVAiLiGgLA_nxBFxyww,american,1136,4.5,1
vQe7_ZW_jBSWKtgSiXGIOA,chinese,657,4.5,1
MNNpsRXe7Wt5m3Jla9Wk0w,mexican,672,5.0,1
KkPanVlxtpsuG0V0IlEchg,chinese,2,3.5,0
ehdmja52dNhEf_Yyipf0eA,mexican,9,3.5,0
qAGqfKduzNz76nQXSplbfQ,italian,10,3.5,0
kxykwx5qTWBhlMh18MQ82Q,mexican,1037,4.5,1
5bLPXbIxIfkthkwiIu81CQ,japanese,5,3.0,0
